                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     97,                0.02232,               0.026211,                0.01017,                      0,                0.97657,                0.98201,                0.99382,                0.86835,                0.97608,                0.95523,                0.97793,                0.65679,                0.01491,               0.012247,              0.0025396,                      0,                0.00568,                0.00568,                0.00568
                     98,               0.023339,               0.026475,               0.010459,                      0,                 0.9848,                0.97725,                0.99369,                0.87735,                0.97056,                0.96321,                0.97917,                0.66559,               0.014787,               0.012087,              0.0025135,                      0,               0.005635,               0.005635,               0.005635
                     99,               0.022992,               0.026261,               0.010459,                      0,                0.98441,                0.97549,                0.99389,                0.86762,                0.97004,                0.95947,                0.97684,                0.65931,               0.015125,               0.012146,              0.0025854,                      0,                0.00559,                0.00559,                0.00559
                    100,               0.023124,                  0.027,               0.010709,                      0,                0.98658,                0.97125,                 0.9936,                0.87042,                0.97072,                 0.9557,                0.97769,                0.65616,               0.014724,               0.011997,              0.0025457,                      0,               0.005545,               0.005545,               0.005545
                    101,               0.022336,               0.026262,               0.010108,                      0,                0.98525,                0.98115,                0.99426,                0.87729,                0.97626,                0.96883,                0.98334,                 0.6646,               0.014413,               0.011832,              0.0025134,                      0,                 0.0055,                 0.0055,                 0.0055
                    102,               0.021771,               0.025645,                0.01013,                      0,                0.98615,                0.97078,                 0.9935,                0.87297,                0.97594,                0.96089,                0.98199,                0.66255,               0.014648,               0.011804,              0.0025223,                      0,               0.005455,               0.005455,               0.005455
                    103,               0.021752,               0.025904,              0.0097536,                      0,                0.98201,                0.97738,                 0.9936,                0.87498,                0.97379,                0.96316,                0.97954,                 0.6593,               0.014664,               0.011979,              0.0025352,                      0,                0.00541,                0.00541,                0.00541
                    104,               0.022566,               0.026387,               0.010485,                      0,                0.98246,                0.98633,                0.99416,                0.87852,                0.96952,                0.97125,                0.98054,                0.67802,               0.014389,               0.011601,              0.0024491,                      0,               0.005365,               0.005365,               0.005365
                    105,               0.021933,               0.025939,               0.010252,                      0,                0.98391,                0.97989,                0.99404,                0.87341,                0.96856,                0.96418,                  0.978,                0.66656,               0.014564,               0.011671,              0.0024845,                      0,                0.00532,                0.00532,                0.00532
                    106,               0.022565,               0.025398,              0.0099356,                      0,                0.98859,                0.98539,                0.99449,                0.88719,                0.97759,                0.97267,                0.98256,                0.68686,               0.013732,               0.011412,              0.0023706,                      0,               0.005275,               0.005275,               0.005275
                    107,               0.021534,               0.024857,              0.0098173,                      0,                0.98723,                 0.9689,                0.99361,                0.87833,                  0.977,                  0.959,                0.98203,                0.67957,               0.014394,               0.011545,              0.0024885,                      0,                0.00523,                0.00523,                0.00523
